Work Counter,ts_begin,ts_end,Work Intensity,Exercise Counter,ts,Exercise Type,quality,Exercise Intensity,description
1.0,2021-12-08 06:32:00,2021-12-08 08:53:00,3.0,,,,,,
2.0,2021-12-08 09:34:00,2021-12-08 16:05:00,4.0,,,,,,
3.0,2021-12-09 06:32:00,2021-12-09 13:00:00,3.0,,,,,,
4.0,2021-12-14 06:35:00,2021-12-14 14:07:00,4.0,,,,,,
5.0,2021-12-16 06:25:00,2021-12-16 13:05:00,4.0,,,,,,
6.0,2021-12-17 06:35:00,2021-12-17 12:05:00,4.0,,,,,,
7.0,2021-12-20 06:25:00,2021-12-20 11:45:00,4.0,,,,,,
8.0,2021-12-21 06:22:00,2021-12-21 16:05:00,4.0,,,,,,
9.0,2021-12-22 06:29:00,2021-12-22 16:05:00,5.0,,,,,,
10.0,2021-12-23 06:28:00,2021-12-23 11:45:00,4.0,,,,,,
11.0,2021-12-24 06:32:00,2021-12-24 15:59:00,5.0,,,,,,
12.0,2021-12-28 06:20:00,2021-12-28 13:55:00,4.0,,,,,,
13.0,2021-12-31 06:25:00,2021-12-31 13:40:00,3.0,,,,,,
14.0,2022-01-03 06:30:00,2022-01-03 13:00:00,4.0,,,,,,
15.0,2022-01-04 06:30:00,2022-01-04 16:05:00,5.0,,,,,,
16.0,2022-01-06 09:30:00,2022-01-06 12:00:00,2.0,,,,,,
17.0,2022-01-09 06:00:00,2022-01-09 14:30:00,6.0,,,,,,
18.0,2022-01-10 06:25:00,2022-01-10 13:00:00,4.0,,,,,,
19.0,2022-01-12 06:30:00,2022-01-12 16:00:00,5.0,,,,,,
20.0,2022-01-13 06:45:00,2022-01-13 12:45:00,5.0,,,,,,
21.0,2022-01-14 06:39:00,2022-01-14 10:00:00,5.0,,,,,,
22.0,2022-01-16 18:35:00,2022-01-17 06:35:00,5.0,,,,,,
,,,,1.0,2021-12-11 18:05,,,,
,,,,2.0,2021-12-11 18:10,,,,
,,,,3.0,2021-12-11 18:15,,,,
