Work Counter,ts_begin,ts_end,Work Intensity,Exercise Counter,ts,Exercise Type,Exercise Intensity,Exercise Duration,Exercise Competitive
1.0,2025-05-15 05:45:00,2025-05-15 15:30:00,5.0,,,,,,
2.0,2025-05-16 05:48:00,2025-05-16 15:00:00,5.0,,,,,,
3.0,2025-05-20 06:00:00,2025-05-20 14:30:00,5.0,,,,,,
4.0,2025-05-21 06:00:00,2025-05-21 15:00:00,5.0,,,,,,
5.0,2025-05-22 05:54:00,2025-05-22 16:00:00,5.0,,,,,,
6.0,2025-05-23 06:04:00,2025-05-23 16:00:00,5.0,,,,,,
7.0,2025-05-26 05:45:00,2025-05-26 17:17:00,5.0,,,,,,
8.0,2025-05-28 05:48:00,2025-05-28 12:30:00,5.0,,,,,,
9.0,2025-06-04 06:00:00,2025-06-04 16:38:00,5.0,,,,,,
10.0,2025-06-09 06:00:00,2025-06-09 16:30:00,5.0,,,,,,
11.0,2025-06-11 06:00:00,2025-06-11 16:00:00,5.0,,,,,,
12.0,2025-06-16 05:46:00,2025-06-16 15:00:00,5.0,,,,,,
13.0,2025-06-17 06:06:00,2025-06-17 20:00:00,6.0,,,,,,
14.0,2025-06-18 06:00:00,2025-06-18 17:01:00,5.0,,,,,,
15.0,2025-06-20 06:00:00,2025-06-20 15:06:00,5.0,,,,,,
16.0,2025-06-26 06:11:00,2025-06-26 17:00:00,5.0,,,,,,
,,,,1.0,2025-05-21 16:45, ,10,61,
,,,,2.0,2025-05-28 16:20, ,10,87,
,,,,3.0,2025-06-23 16:45, ,10,60,
