Exercise Counter,ts,Exercise Type,Exercise Intensity,Exercise Duration,Exercise Competitive
1,2021-12-01 09:00, ,4,105,
2,2021-12-03 12:15, ,5,58,
3,2021-12-03 14:20, ,7,42,
4,2021-12-04 10:50, ,9,20,
5,2021-12-04 11:30, ,3,25,
6,2021-12-08 08:30, ,5,36,
7,2021-12-09 13:20, ,3,70,
8,2021-12-10 15:39, ,5,42,
9,2021-12-11 08:37, ,5,37,
10,2021-12-13 13:40, ,5,27,
11,2021-12-13 14:25, ,8,60,
12,2021-12-13 15:34, ,7,14,
13,2021-12-14 11:51, ,5,42,
14,2021-12-15 09:55, ,4,36,
15,2021-12-22 15:30, ,4,81,
16,2021-12-25 17:59, ,6,96,
17,2021-12-31 10:03, ,3,54,
18,2022-01-01 10:14, ,4,27,
19,2022-01-01 13:00, ,5,60,
20,2022-01-01 15:39, ,7,44,
21,2022-01-10 08:58, ,3,28,
22,2022-01-11 09:45, ,6,69,
23,2022-01-11 12:40, ,7,61,
